scenario,expiry,tenor,moneyness_basis_points,strike,qf_rates,quantlib,absolute_difference,difference_basis_points_notional,relative_difference
high_volatility,1.0,2.0,100.0,0.03531512052442881,0.004199391807029749,0.004207144503691353,7.752696661604032e-06,0.07752696661604032,0.001842745514160925
high_volatility,1.0,5.0,-100.0,0.015315120524428837,0.050557666686574895,0.05068659075451782,0.0001289240679429246,1.2892406794292461,0.0025435537491034213
high_volatility,1.0,5.0,0.0,0.025315120524428837,0.020852092039074895,0.020775009488416735,7.708255065816058e-05,0.7708255065816059,0.003710349720953848
high_volatility,1.0,5.0,100.0,0.03531512052442884,0.005659769293922943,0.005645336587092797,1.4432706830145615e-05,0.14432706830145614,0.0025565715360787882
high_volatility,1.0,10.0,-100.0,0.015315120524428854,0.09018792163701174,0.09016936820559501,1.8553431416726274e-05,0.18553431416726274,0.00020576202080536517
high_volatility,1.0,10.0,0.0,0.025315120524428854,0.030666129712428516,0.030613346653287358,5.278305914115794e-05,0.5278305914115794,0.0017241845440472262
high_volatility,1.0,10.0,100.0,0.03531512052442885,0.0053770709158708985,0.005368925820785283,8.145095085615797e-06,0.08145095085615797,0.001517080950174957
high_volatility,2.0,2.0,-100.0,0.015315120524428924,0.024894234527097547,0.02493386499688219,3.9630469784644046e-05,0.39630469784644046,0.0015894234523849216
high_volatility,2.0,2.0,0.0,0.025315120524428924,0.013931234997621403,0.013965636347531176,3.440134990977291e-05,0.34401349909772905,0.002463285528400167
high_volatility,2.0,2.0,100.0,0.03531512052442892,0.00676176878451971,0.00673948278688899,2.2285997630719714e-05,0.22285997630719714,0.00330678159369662
high_volatility,2.0,5.0,-100.0,0.015315120524428882,0.054460037843751016,0.05434668287476037,0.00011335496899064768,1.1335496899064768,0.0020857753039292097
high_volatility,2.0,5.0,0.0,0.025315120524428882,0.027040544299354322,0.026857419812005175,0.00018312448734914694,1.8312448734914692,0.006818394642187144
high_volatility,2.0,5.0,100.0,0.03531512052442888,0.010654037436919794,0.010523814287417122,0.00013022314950267115,1.3022314950267115,0.012374139826695102
high_volatility,2.0,10.0,-100.0,0.015315120524428882,0.09445971663850788,0.0945833544236013,0.00012363778509341672,1.2363778509341672,0.0013071833394668172
high_volatility,2.0,10.0,0.0,0.025315120524428882,0.04053398093265823,0.040505997904190225,2.7983028468007987e-05,0.27983028468007987,0.0006908366640959419
high_volatility,2.0,10.0,100.0,0.03531512052442888,0.0121791116950993,0.012157022446180268,2.2089248919032398e-05,0.22089248919032398,0.0018169949933729728
high_volatility,5.0,2.0,-100.0,0.015315120524428917,0.02684420918007397,0.02688983862539487,4.56294453209001e-05,0.456294453209001,0.0016969029065800148
high_volatility,5.0,2.0,0.0,0.025315120524428917,0.01719340247737227,0.01714851739801269,4.488507935957939e-05,0.4488507935957939,0.0026174320681962297
high_volatility,5.0,2.0,100.0,0.035315120524428915,0.010052540411632827,0.010055300397816328,2.7599861835009287e-06,0.027599861835009287,0.0002744807289994344
high_volatility,5.0,5.0,-100.0,0.015315120524428875,0.05910972176446057,0.05875841036515815,0.0003513113993024175,3.513113993024175,0.005978912586626643
high_volatility,5.0,5.0,0.0,0.025315120524428875,0.035010067972900856,0.034716418796619915,0.0002936491762809412,2.9364917628094123,0.008458510020899151
high_volatility,5.0,5.0,100.0,0.035315120524428874,0.017771863510553678,0.018227728378176468,0.00045586486762278985,4.558648676227898,0.025009417419703472
high_volatility,5.0,10.0,-100.0,0.015315120524428889,0.10066615307438312,0.10057951143665705,8.664163772606481e-05,0.8664163772606481,0.0008614243247803999
high_volatility,5.0,10.0,0.0,0.02531512052442889,0.054006837723648164,0.05399614719055773,1.0690533090433607e-05,0.10690533090433607,0.00019798696104567721
high_volatility,5.0,10.0,100.0,0.03531512052442889,0.024439234716144998,0.024482221140233504,4.29864240885057e-05,0.429864240885057,0.0017558220654196619
fast_mean_reversion,1.0,2.0,-100.0,0.01531512052442881,0.018858189921865692,0.01885658502765364,1.6048942120538978e-06,0.016048942120538978,8.511054412558169e-05
fast_mean_reversion,1.0,2.0,0.0,0.02531512052442881,0.0037062685778947906,0.00366854121657412,3.772736132067042e-05,0.37727361320670416,0.010284022747303966
fast_mean_reversion,1.0,2.0,100.0,0.03531512052442881,7.567843839271494e-05,7.213454688089055e-05,3.5438915118243954e-06,0.03543891511824396,0.04912890792363488
